400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
55.85,58.79,60.96,62.74,63.74,64.01,63.91,63.29,62.01,59.95,57.32,54.18,50.91,47.14,43.86,41.16,38.82,36.41,34.36,33.11,32.73,32.5,32.19,32.05,32.59,34.85,39.17,44.56,53.68,58.67,66.17,71.78,-7.02,-19.83,21.04,250.51,264-1,0.06,FVF2429,0,0
34.82,35.94,36.81,37.6,37.81,37.63,36.71,35.59,33.91,31.79,29.27,26.48,23.7,20.85,18.31,16.23,14.53,12.88,11.53,10.76,10.56,10.37,10.2,10.13,10.45,11.87,14.76,18.49,25.35,29.57,36.35,50.01,-6.29,-28.83,29.51,257.7,264-1,0.5,FVF2429,0,0
23.07,23.59,24.17,24.65,24.81,24.58,23.65,22.56,21.06,19.16,16.98,14.63,12.38,10.23,8.45,7.06,6.04,5.1,4.41,4.1,3.97,3.89,3.84,3.82,3.98,4.61,6.14,8.27,13.31,16.81,22.33,36.25,-3.5,-33.12,33.31,263.97,264-1,1.5,FVF2429,0,0
16.53,16.83,17.27,17.61,17.76,17.54,16.69,15.75,14.42,12.81,11.0,9.12,7.42,5.89,4.72,3.89,3.33,2.85,2.52,2.39,2.34,2.32,2.32,2.33,2.42,2.66,3.41,4.53,8.01,10.77,15.31,28.41,0.31,-33.13,33.13,270.54,264-1,3.0,FVF2429,0,0
52.11,53.69,54.69,55.37,55.63,55.84,55.88,55.63,54.68,53.48,51.88,50.12,48.3,46.34,44.54,42.87,41.2,39.69,38.4,37.38,36.66,36.31,36.25,36.5,37.62,39.47,42.34,45.68,52.9,57.72,65.39,72.05,-4.53,-12.26,13.07,249.73,F6S,0.06,FVF2429,0,0
30.54,30.29,30.02,29.75,29.4,29.03,28.42,27.66,26.31,24.74,23.21,21.52,19.9,18.36,16.92,15.55,14.36,13.27,12.39,11.74,11.33,11.04,11.0,11.17,11.85,13.03,14.89,17.19,22.45,26.57,33.53,47.85,-3.89,-21.39,21.74,259.7,F6S,0.5,FVF2429,0,0
19.39,18.82,18.44,18.1,17.79,17.42,16.85,16.15,14.98,13.69,12.44,11.11,9.89,8.8,7.84,6.94,6.21,5.56,5.08,4.76,4.55,4.39,4.38,4.49,4.79,5.37,6.4,7.74,11.33,14.56,20.11,33.89,-2.09,-24.56,24.65,265.13,F6S,1.5,FVF2429,0,0
12.84,12.28,11.92,11.65,11.36,11.05,10.6,10.01,9.07,8.07,7.11,6.14,5.32,4.64,4.05,3.56,3.18,2.88,2.63,2.5,2.42,2.36,2.36,2.41,2.56,2.84,3.26,3.86,6.03,8.29,12.51,24.83,0.8,-24.42,24.44,271.88,F6S,3.0,FVF2429,0,0
58.49,62.87,66.28,69.2,71.47,73.59,75.35,76.32,76.7,76.66,76.03,74.6,72.77,70.17,67.33,64.24,60.85,57.34,54.05,51.0,47.99,44.99,42.41,40.31,38.89,37.87,36.98,35.97,35.55,35.69,37.52,82.93,-15.4,-9.4,18.04,211.39,261-8,0.06,FVF2429,0,0
45.55,50.08,53.61,56.55,59.42,63.31,65.96,66.15,64.17,61.0,57.22,52.8,48.41,43.84,39.73,35.86,32.25,28.96,26.07,23.6,21.28,18.99,17.1,15.61,14.62,13.89,13.29,12.59,12.41,12.51,13.7,67.43,-18.53,-25.95,31.89,234.47,261-8,0.5,FVF2429,0,0
33.48,37.29,40.39,42.9,45.41,48.95,50.94,50.32,47.52,44.03,40.44,36.56,32.91,29.27,25.95,22.76,19.81,17.14,14.85,12.94,11.18,9.52,8.23,7.27,6.63,6.19,5.85,5.44,5.36,5.46,6.14,56.32,-17.73,-30.25,35.06,239.63,261-8,1.5,FVF2429,0,0
25.68,29.05,31.74,33.82,35.92,38.81,39.91,38.94,36.01,32.75,29.6,26.35,23.33,20.39,17.67,15.05,12.71,10.63,8.91,7.52,6.34,5.26,4.47,3.96,3.58,3.34,3.15,2.96,2.92,3.05,3.34,47.82,-15.49,-32.64,36.13,244.61,261-8,3.0,FVF2429,0,0
58.08,61.33,62.6,62.77,61.65,59.36,57.25,55.31,52.0,49.61,48.34,46.15,44.23,44.83,46.63,46.94,46.8,52.06,62.73,74.12,82.63,86.68,87.8,88.35,88.33,88.38,88.34,88.25,88.25,88.04,88.08,80.26,24.72,-1.06,24.74,357.55,142,0.06,FVF2429,0,0
46.59,48.27,47.37,44.4,40.55,36.19,32.64,29.99,26.56,24.24,23.12,21.31,19.77,20.22,21.67,21.84,21.7,25.91,35.6,49.2,64.52,75.85,80.98,83.66,84.56,84.58,85.36,85.58,85.86,85.88,86.61,65.36,43.51,-2.05,43.56,357.31,142,0.5,FVF2429,0,0
36.26,37.41,35.72,32.31,28.48,24.39,21.11,18.71,15.79,13.88,12.97,11.53,10.4,10.76,11.86,11.91,12.05,15.19,23.24,34.8,48.3,59.43,65.63,69.63,71.94,73.1,74.76,75.61,76.93,77.39,78.88,55.27,49.44,-2.27,49.5,357.37,142,1.5,FVF2429,0,0
29.61,30.33,28.11,24.46,20.65,16.87,13.94,11.89,9.56,8.12,7.44,6.44,5.76,5.99,6.67,6.69,6.77,9.05,15.55,25.91,38.76,50.29,57.43,62.15,64.91,66.42,68.42,69.72,71.48,71.95,74.03,48.1,54.28,-0.89,54.29,359.06,142,3.0,FVF2429,0,0
30.5,29.51,28.84,28.43,28.54,29.8,32.99,38.05,47.48,58.55,67.82,73.57,76.61,78.33,79.37,80.34,81.28,82.0,82.58,82.87,83.17,83.33,83.44,83.62,83.94,84.58,85.5,86.21,87.35,87.64,87.96,89.9,-6.66,42.06,42.59,98.99,327,0.06,FVF2429,0,0
9.7,8.64,8.28,8.07,8.19,8.91,10.85,14.3,21.83,32.43,44.19,54.58,61.81,66.51,69.96,72.95,75.28,77.26,79.23,80.82,82.13,83.13,83.79,84.3,84.81,85.46,86.06,86.41,87.11,87.15,87.4,85.33,-0.79,73.59,73.59,90.62,327,0.5,FVF2429,0,0
